Name,Цена тенге,1 piece,1 gram,"tags ",ссылка,gramm,Колличество,Date
28 Латунная проволока 0.3,1651,66.04,110.066666666667,wire,https://ozon.kz/product/provoloka-latunnaya-provoloka-dlya-rukodeliya-myagkaya-0-3-mm-motok-25-m-406676233/,15,25,
0.6 Copper Square Wire,1800,300,105.882352941176,wire,,17,6,
12 Проволока нейзильбер 2 mm,3063,1531.5,51.05,wire,https://ozon.kz/product/provoloka-neyzilber-imitatsiya-serebra-dlya-rukodeliya-myagkaya-2-mm-motok-2-m-406638054/,60,2,
1mm Square Copper Wire,2192,365.333333333333,42.980392156863,wire,,51,6,
18 Gauge 1mm Solid Brass Wire,3205,160.25,24.653846153846,wire,,130,20,
28 Gauge copper 0.3,4606,13.186372745491,23.03,wire,,200,349.3,
16 Gauge Copper 1.3 mm,3141,261.75,22.435714285714,wire,,140,12,
24 Gauge Copper 0.5 mm,3139,37.819277108434,22.421428571429,wire,,140,83,
20 Gauge Copper 0.8 mm,3086,93.515151515152,22.042857142857,wire,,140,33,
18 Gauge copper 1,4054,152.865761689291,20.27,wire,,200,26.52,
18 Проволока нейзильбер 1 mm,2611,522.2,,wire,,,5,
24 Проволока нейзильбер 0.5 mm,1608,201,,wire,,,8,
Turmaline,2010,,201,stone,,10,,
Electroplated quartz,1800,,36,stone,,50,,
Opal,1647,,35.042553191489,stone,,47,,
Green Apatite,2300,,23,stone,,100,,
Lapis Lazuli,828,,23,stone,,36,,
5-8mm Natural Peridot Beads - Green,4413,20.059090909091,,stone,,,220,
White Natural Freshwater Pearls,1974,19.74,,stone,,,100,
" Black Baroque Freshwater Pearl Beads",2193,39.872727272727,,stone,,,55,
" Garnet Stone Beads Gravel Chip",791,3.766666666667,,stone,,,210,
Natural Aquamarine,1441,20.585714285714,,stone,,,70,
Onyx beads,926,8.267857142857,,stone,,,112,
"Black onyx ",1274,11.796296296296,,stone,,,108,
Apatite,984,6.15,,stone,,,160,
Golden sand,868,5.425,,stone,,,160,
Pearl,4416,61.333333333333,,stone,,,72,
Opal,774,4.8375,,stone,,,160,
Phoenix,823,,,stone,,,,
Agat,829,,,stone,,,,
2pcs DIY Jewelry Making Tool Set - Stainless Steel Round Hammer & Backing,2080,,,tool,,,,
Precision Carbon Steel Pliers with Comfort Grip,883,,,tool,,,,
Flat-Nose Pliers,1313,,,tool,,,,
" Round Nose Polished Finish",763,,,tool,,,,
The Hobbyworker High Quality Double Nylon Jaw Pliers,1343,,,tool,,,,
КРУГЛОГУБЦЫ ,4873,,,tool,,,,
Professional Ring Enlarger Stick Mandrel,951,,,tool,,,,
"1pc Multi Material Ring Opening Tool ",295,,,tool,,,,
"31pcs 1 Large Box + 30 Small Boxes ",1850,,,tool,,,,
Precision A4 Rotary Cutting Mat,1000,,,tool,,,,
Drop Shaped Glass Beads,776,12.933333333333,,stone,,,60,
" Natural Stone Chrysanthemum & Conch",590,590,,stone,,,1,
Carnelian Crystal Chips,444,,15.578947368421,stone,,28.5,,
Tiger's Eye Small Tumbled Chips,380,,13.333333333333,stone,,28.5,,
"Natural Garnet Crystal Fragments ",489,,16.3,stone,,30,,
High-Quality 3Pcs Natural Garnet Small Oval Naked Stone,1618,539.333333333333,,stone,,,3,
" Ceramic Snail Beads",782,78.2,,stone,,,10,
"High-Flash Labradorite Slabs ",456,,22.8,stone,,20,,
"Black Natural Agate Crystal Slices,",2274,324.857142857143,,stone,,,7,
" Natural Stone Yellow Tiger Eye Loose Beads 4",859,9.544444444444,,stone,,,90,
Natural Natural chrysoprase stone,1243,,12.43,stone,,100,,
Natural Dragon'S Blood Stone,879,,17.58,stone,,50,,
"Grade A Natural Peridot Round Cabochons,",2518,125.9,,stone,,,20,
"14 Gauge Bare Copper Wire 2.0mm ",2594,518.8,,wire,,,5,
Lake Blue Glass Stone,819,,8.19,stone,,100,,
"labradorite ",1116,,37.2,stone,,30,,
Крючки для ушей серебро,1021,25.525,,other,,,40,
крючки для ушей бронза,1141,28.525,,other,,,40,
Агат мяско,1477,246.166666666667,,stone,,,6,
Медь для пайки,1229,122.9,,other,,,10,
wire chain draw,2131,,,tool,,,,
стекляшки меняющие цвет,785,78.5,,stone,,,10,